Monthly Payment: $94.36
Month	Interest	Principal	Balance
-------------------------------------------------
1	20.83		73.52		4,926.48
2	20.53		73.83		4,852.65
3	20.22		74.14		4,778.51
4	19.91		74.45		4,704.07
5	19.60		74.76		4,629.31
6	19.29		75.07		4,554.24
7	18.98		75.38		4,478.86
8	18.66		75.69		4,403.17
9	18.35		76.01		4,327.16
10	18.03		76.33		4,250.83
11	17.71		76.64		4,174.19
12	17.39		76.96		4,097.22
13	17.07		77.28		4,019.94
14	16.75		77.61		3,942.33
15	16.43		77.93		3,864.40
16	16.10		78.25		3,786.15
17	15.78		78.58		3,707.57
18	15.45		78.91		3,628.66
19	15.12		79.24		3,549.42
20	14.79		79.57		3,469.86
21	14.46		79.90		3,389.96
22	14.12		80.23		3,309.73
23	13.79		80.57		3,229.16
24	13.45		80.90		3,148.26
25	13.12		81.24		3,067.02
26	12.78		81.58		2,985.44
27	12.44		81.92		2,903.53
28	12.10		82.26		2,821.27
29	11.76		82.60		2,738.67
30	11.41		82.95		2,655.72
31	11.07		83.29		2,572.43
32	10.72		83.64		2,488.80
33	10.37		83.99		2,404.81
34	10.02		84.34		2,320.47
35	9.67		84.69		2,235.79
36	9.32		85.04		2,150.74
37	8.96		85.39		2,065.35
38	8.61		85.75		1,979.60
39	8.25		86.11		1,893.49
40	7.89		86.47		1,807.03
41	7.53		86.83		1,720.20
42	7.17		87.19		1,633.01
43	6.80		87.55		1,545.46
44	6.44		87.92		1,457.54
45	6.07		88.28		1,369.26
46	5.71		88.65		1,280.61
47	5.34		89.02		1,191.59
48	4.96		89.39		1,102.20
49	4.59		89.76		1,012.43
50	4.22		90.14		922.29
51	3.84		90.51		831.78
52	3.47		90.89		740.89
53	3.09		91.27		649.62
54	2.71		91.65		557.97
55	2.32		92.03		465.94
56	1.94		92.41		373.53
57	1.56		92.80		280.73
58	1.17		93.19		187.54
59	0.78		93.57		93.96
60	0.39		93.96		0.00
